ID,Effect,Estimate,StdErrPred,DF,tValue,Probt,Alpha,Lower,Upper
1205,z,-0.191590047,0.8403227604,1520,-0.227995784,0.8196801831,0.05,-1.839904916,1.4567248219
1206,z,-0.275254607,0.7825849267,1520,-0.351724903,0.7250933345,0.05,-1.810315219,1.2598060044
1207,z,-0.130009563,0.8872019689,1520,-0.146538858,0.8835154489,0.05,-1.870279214,1.6102600877
1208,z,0.9325315051,0.6684919615,1520,1.3949778887,0.1632263061,0.05,-0.378732799,2.2437958094
1209,z,1.159727261,0.5409962394,1520,2.1436882118,0.0322161479,0.05,0.0985491193,2.2209054026
1210,z,-0.230573683,0.8125175863,1520,-0.283776852,0.7766200426,0.05,-1.824347982,1.363200616
1211,z,-0.136800855,0.8819056953,1520,-0.155119595,0.8767476296,0.05,-1.866681728,1.5930800184
1212,z,-0.197560802,0.8359517372,1520,-0.236330392,0.8132081467,0.05,-1.837301795,1.4421801916
1213,z,-0.156656078,0.8664395344,1520,-0.180804397,0.8565452152,0.05,-1.856199675,1.5428875201
1214,z,-0.252531181,0.7978478479,1520,-0.316515463,0.7516547513,0.05,-1.817530408,1.3124680459
1215,z,-0.231111387,0.8122478869,1520,-0.284533072,0.7760406507,0.05,-1.824356664,1.36213389
1216,z,0.7144942161,0.5880450229,1520,1.2150331832,0.2245421375,0.05,-0.438971334,1.8679597658
1217,z,1.1709635092,0.5483618802,1520,2.1353845907,0.0328890699,0.05,0.0953374721,2.2465895462
1218,z,-0.17529122,0.8524673648,1520,-0.205628071,0.8371089835,0.05,-1.847428045,1.496845605
1219,z,-0.102277033,0.9096264334,1520,-0.112438501,0.9104905761,0.05,-1.886532852,1.6819787865
1220,z,-0.235713577,0.8092383427,1520,-0.29127831,0.7708782169,0.05,-1.823055555,1.3516284013
1221,z,0.7651576646,0.6084836254,1520,1.2574827533,0.2087720449,0.05,-0.428398733,1.9587140626
1222,z,-0.261876347,0.7910229734,1520,-0.331060356,0.7406445284,0.05,-1.813488406,1.289735712
1223,z,0.7075425926,0.5848620377,1520,1.2097598186,0.2265591804,0.05,-0.439679449,1.8547646342
1224,z,-0.31746125,0.7553680256,1520,-0.420273614,0.6743449866,0.05,-1.799135205,1.1642127048
1225,z,-0.193987837,0.8387490752,1520,-0.231282326,0.8171266049,0.05,-1.839215881,1.4512402076
1226,z,-0.15595237,0.8669420757,1520,-0.179887878,0.8572645696,0.05,-1.856481716,1.544576975
1227,z,-0.270952766,0.7851420131,1520,-0.345100328,0.7300666942,0.05,-1.811029169,1.2691236369
1228,z,-0.169116229,0.8569638248,1520,-0.197343486,0.8435851364,0.05,-1.850072976,1.5118405189
1229,z,-0.167391474,0.8583871228,1520,-0.195006973,0.8454135504,0.05,-1.851140058,1.5163571092
1230,z,-0.181524116,0.8477414988,1520,-0.214126731,0.8304769506,0.05,-1.844391032,1.4813428001
1231,z,0.66228979,0.5737982024,1520,1.1542207474,0.2485911175,0.05,-0.463230252,1.7878098321
1232,z,0.7947841867,0.6181165913,1520,1.2858159736,0.1987031404,0.05,-0.417667524,2.0072358969
1233,z,0.75953699,0.6068409145,1520,1.2516245556,0.2108992825,0.05,-0.430797188,1.9498711681
1234,z,0.8149774924,0.6238641472,1520,1.3063380803,0.191635247,0.05,-0.408748198,2.0387031825
1235,z,0.9161986687,0.661278919,1520,1.3854950495,0.1661044086,0.05,-0.380917066,2.2133144032
1236,z,-0.206950076,0.8291758299,1520,-0.249585274,0.8029418119,0.05,-1.833399952,1.4194997992
1237,z,-0.194002638,0.8385313116,1520,-0.23136004,0.8170662458,0.05,-1.838803533,1.4507982576
1238,z,-0.163081454,0.8615111559,1520,-0.189296973,0.8498853402,0.05,-1.85295791,1.5267950013
