ID,Effect,Estimate,StdErrPred,DF,tValue,Probt,Alpha,Lower,Upper
183,z,-0.04108294,0.9718508366,1520,-0.042272887,0.9662867114,0.05,-1.947393538,1.8652276582
184,z,-0.021145398,0.9852861028,1520,-0.021461176,0.9828805903,0.05,-1.953809619,1.9115188227
185,z,-0.012938984,0.9909445782,1520,-0.013057222,0.9895838535,0.05,-1.956702451,1.9308244835
186,z,-0.022412287,0.9844036842,1520,-0.022767374,0.9818388216,0.05,-1.953345621,1.9085210475
187,z,-0.00336978,0.9976197932,1520,-0.00337782,0.9973053382,0.05,-1.960226854,1.9534872947
188,z,-0.030829299,0.9786446537,1520,-0.031502036,0.9748733039,0.05,-1.950466146,1.8888075471
189,z,-0.013028695,0.9908769402,1520,-0.013148651,0.9895109219,0.05,-1.956659489,1.9306020982
190,z,-0.020418762,0.9858587066,1520,-0.020711652,0.9834783926,0.05,-1.95420616,1.913368636
191,z,-0.104002353,0.9337547178,1520,-0.111380806,0.9113290855,0.05,-1.935586427,1.7275817215
192,z,-0.015431865,0.98929822,1520,-0.0155988,0.98755651,0.05,-1.955965958,1.9251022276
193,z,-0.016433052,0.9885143368,1520,-0.016623989,0.9867387682,0.05,-1.955429537,1.9225634339
194,z,1.0601163061,1.0693134078,1520,0.9913990589,0.3216485501,0.05,-1.037369651,3.1576022632
195,z,-0.012264536,0.9914008156,1520,-0.012370915,0.9901313128,0.05,-1.956922924,1.932393853
196,z,-0.014282117,0.9900683997,1520,-0.014425384,0.988492501,0.05,-1.956326937,1.9277627034
197,z,-0.08744083,0.9423185631,1520,-0.09279328,0.9260800185,0.05,-1.935823108,1.7609414486
198,z,-0.005268208,0.9962834562,1520,-0.00528786,0.9957816116,0.05,-1.959504022,1.9489676072
199,z,-0.02206932,0.9846775441,1520,-0.022412738,0.9821216609,0.05,-1.953539838,1.9094011973
200,z,-0.00018563,0.9998683274,1520,-0.000185655,0.999851893,0.05,-1.961453263,1.9610820021
201,z,-0.026068937,0.9819907099,1520,-0.02654703,0.9788245069,0.05,-1.952269159,1.9001312856
202,z,-0.015109561,0.9894918585,1520,-0.015270021,0.9878187634,0.05,-1.956023481,1.9258043585
203,z,-0.006356939,0.9955237619,1520,-0.006385523,0.9949059627,0.05,-1.959102594,1.9463887153
204,z,-0.045023286,0.9691123645,1520,-0.046458272,0.9629510949,0.05,-1.9459623,1.8559157283
205,z,-0.067209872,0.9549568996,1520,-0.070380006,0.943900463,0.05,-1.940382575,1.805962831
206,z,-0.004901879,0.9965419421,1520,-0.004918888,0.9960759561,0.05,-1.95964472,1.9498409628
207,z,-0.00582787,0.9959037107,1520,-0.00585184,0.9953317014,0.05,-1.959318804,1.9476630645
208,z,-0.024263608,0.9831837379,1520,-0.02467861,0.9803145556,0.05,-1.952803986,1.9042767694
209,z,0.8052890442,0.8877373932,1520,0.9071252945,0.3644843269,0.05,-0.936030855,2.5466089438
210,z,-0.025134296,0.9825938142,1520,-0.025579538,0.9795960647,0.05,-1.952517523,1.9022489314
211,z,-0.010095143,0.9929157507,1520,-0.01016717,0.991889246,0.05,-1.957725116,1.9375348299
212,z,-0.006367463,0.9955131248,1520,-0.006396162,0.9948974755,0.05,-1.959092252,1.9463573268
213,z,-0.047473787,0.9676142637,1520,-0.04906272,0.9608757589,0.05,-1.945474238,1.8505266635
214,z,-0.002400119,0.9983047192,1520,-0.002404195,0.9980820474,0.05,-1.960600693,1.9558004553
215,z,-0.008878643,0.9937612868,1520,-0.008934382,0.992872662,0.05,-1.958167157,1.9404098715
216,z,-0.15663907,0.9009946954,1520,-0.173851268,0.8620055016,0.05,-1.923963512,1.6106853711
217,z,-0.006700737,0.9952966087,1520,-0.006732402,0.9946292445,0.05,-1.959000825,1.9455993511
218,z,-0.004175431,0.9970570294,1520,-0.004187756,0.9966592136,0.05,-1.95992863,1.9515777672
219,z,-0.008109558,0.9943017387,1520,-0.008156034,0.9934935692,0.05,-1.958458183,1.9422390661
220,z,-0.010165834,0.9928863606,1520,-0.010238668,0.9918322108,0.05,-1.957738158,1.9374064895
221,z,-0.000496029,0.9996484207,1520,-0.000496203,0.9996041523,0.05,-1.961332308,1.9603402512
222,z,-0.001401549,0.9990077028,1520,-0.001402942,0.9988807991,0.05,-1.960981044,1.9581779455
223,z,-0.007318753,0.9948478787,1520,-0.007356656,0.9941312562,0.05,-1.958738646,1.9441011388
224,z,-0.000070038,0.9999503108,1520,-0.000070042,0.999944124,0.05,-1.961498483,1.9613584066
225,z,-0.008179159,0.9942551652,1520,-0.008226418,0.9934374216,0.05,-1.958436428,1.9420781106
226,z,-0.012895744,0.9909757658,1520,-0.013013178,0.9896189869,0.05,-1.956720386,1.9309288983
227,z,-0.000086496,0.9999386356,1520,-0.000086502,0.9999309922,0.05,-1.96149204,1.9613190475
228,z,-0.000051671,0.9999633402,1520,-0.000051673,0.9999587783,0.05,-1.961505673,1.9614023318
229,z,-0.01162167,0.9918450042,1520,-0.011717224,0.9906527597,0.05,-1.957151346,1.9339080063
230,z,-0.000035615,0.9999747307,1520,-0.000035616,0.999971587,0.05,-1.96151196,1.9614407303
231,z,-0.001493713,0.9989422634,1520,-0.001495294,0.9988071244,0.05,-1.960944846,1.9579574212
232,z,-0.000059409,0.9999578513,1520,-0.000059411,0.9999526036,0.05,-1.961502645,1.9613838273
233,z,-0.004423632,0.9968836096,1520,-0.004437461,0.9964600123,0.05,-1.959836663,1.9509893991
234,z,-0.021605766,0.9849705497,1520,-0.021935444,0.9825023307,0.05,-1.953651021,1.9104394893
235,z,-0.004284914,0.9969769191,1520,-0.004297907,0.996571341,0.05,-1.959880974,1.9513111462
236,z,-0.026025428,0.9819356304,1520,-0.02650421,0.9788586546,0.05,-1.952117611,1.9000667542
237,z,-0.007125652,0.9949831625,1520,-0.007161581,0.9942868739,0.05,-1.958810907,1.9445596026
238,z,-0.000107014,0.9999240789,1520,-0.000107022,0.999914623,0.05,-1.961484004,1.9612699764
239,z,-0.000113183,0.999919709,1520,-0.000113192,0.9999097011,0.05,-1.961481601,1.9612552361
240,z,-0.010474824,0.9926489734,1520,-0.010552395,0.9915819481,0.05,-1.957581506,1.9366318587
241,z,-0.121234805,0.9221645263,1520,-0.131467652,0.8954227731,0.05,-1.930084418,1.6876148085
242,z,-0.005301599,0.9962604855,1520,-0.005321499,0.9957547767,0.05,-1.959492356,1.9488891583
243,z,-0.009040162,0.9936492561,1520,-0.009097941,0.9927421875,0.05,-1.958108925,1.9400286008
244,z,-0.126870272,0.9189020584,1520,-0.138067241,0.890205563,0.05,-1.92932047,1.6755799257
245,z,-0.000049597,0.999964811,1520,-0.000049599,0.9999604306,0.05,-1.961506485,1.96140729
246,z,-0.073169272,0.9520807697,1520,-0.076851958,0.9387514302,0.05,-1.940700371,1.7943618279
247,z,-0.030473185,0.9789378966,1520,-0.031128824,0.9751708893,0.05,-1.950685236,1.8897388647
248,z,-0.035941307,0.9752750619,1520,-0.036852483,0.9706074663,0.05,-1.948968612,1.8770859975
249,z,-0.039304663,0.9731316834,1520,-0.040389871,0.9677876101,0.05,-1.948127675,1.8695183497
250,z,-0.010339335,0.9927312588,1520,-0.01041504,0.9916915177,0.05,-1.957607423,1.936928752
251,z,-0.00648702,0.9954276936,1520,-0.006516817,0.9948012246,0.05,-1.959044234,1.9460701944
252,z,-0.021257176,0.9852259749,1520,-0.021575939,0.9827890587,0.05,-1.953803454,1.911289103
253,z,1.182428164,1.2438469971,1520,0.9506218745,0.3419474857,0.05,-1.257409951,3.6222662788
254,z,-0.023830288,0.9836445187,1520,-0.024226525,0.9806751007,0.05,-1.953274499,1.9056139231
255,z,-0.023848684,0.9834226977,1520,-0.024250695,0.9806558246,0.05,-1.952857787,1.9051604201
256,z,-0.005032216,0.9964593138,1520,-0.005050097,0.9959712852,0.05,-1.95961298,1.9495485475
257,z,-0.004688449,0.9966981721,1520,-0.004703981,0.9962473974,0.05,-1.95973774,1.9503608416
258,z,-0.000065504,0.9999535279,1520,-0.000065507,0.9999477411,0.05,-1.96150026,1.9613692511
259,z,-0.007117221,0.994992232,1520,-0.007153042,0.9942936859,0.05,-1.958820266,1.9445858242
260,z,-0.003814069,0.9973084694,1520,-0.003824362,0.9969491095,0.05,-1.960060474,1.9524323356
261,z,-0.025827048,0.9821613747,1520,-0.026296135,0.9790245892,0.05,-1.952362034,1.9007079375
262,z,-0.015318916,0.9893344099,1520,-0.015484062,0.9876480315,0.05,-1.955923996,1.9252861646
